q_hip,q_thigh,q_calf,determinant,condition_number,rank,fd_jacobian_error,fd_spatial_jacobian_error,fd_body_jacobian_error,spatial_to_point_jacobian_error
0.7982280844567452,2.2858915979383725,-2.4900335303224144,-0.001569655623771415,4.063620614865355,3,4.2117022391201764e-11,2.306983671577972e-10,2.3832509874966267e-10,2.023017827855918e-17
-0.2932118585975274,2.250205472099904,-1.1455725117910884,0.0013035362208270193,11.124842580008185,3,6.324316540304571e-11,1.75164150999036e-10,1.7647450974820389e-10,1.3877787807814457e-17
-0.1265196987641417,0.8426460434825098,-1.6165763097105261,-0.011033701788756982,2.669673057973857,3,2.7654321980902174e-11,1.2577714138149105e-10,1.4643655855747285e-10,2.9099469248739624e-17
0.5702080721517689,-0.025587283705063912,-1.6366748951468626,-0.0072509114052717065,2.6783777786180987,3,4.279943159502131e-11,1.0692329484670764e-10,1.2620544913959024e-10,4.443059973708341e-17
0.18630702125290488,1.4407018892973484,-2.055543863426972,-0.006700303723987795,2.0510415995095914,3,4.466720923839108e-11,2.0223210130415672e-10,2.3076037600877757e-10,4.415885040048117e-17
0.7197788387303771,3.227491341096763,-2.4198482587773604,0.001612674182112267,4.124948283593513,3,4.37095836831395e-11,2.2017627918479508e-10,2.0916424654700398e-10,2.0816681711721685e-17
-0.8015394687066727,0.30430275089881254,-1.943790046438456,-0.006596305948848055,2.1667884806028335,3,2.7269837082008912e-11,8.662035623139599e-11,7.62999806415122e-11,3.4389553013601195e-17
-0.5425059998387216,0.7216217527945807,-1.4849557642088962,-0.011742766853453393,2.9811718121818864,3,5.6448661505928606e-11,1.332366907339833e-10,1.7793516696673135e-10,8.007022061249002e-17
0.38426474561107804,3.2378322302012625,-1.2470719628965021,0.010641753873882,3.753270401800897,3,4.795485352581345e-11,1.8194646609827422e-10,1.5416742850541292e-10,8.355534721610419e-17
-0.28456547039137103,1.7425500838521146,-1.3828567135616312,-0.006012975180414658,3.5241203794604843,3,4.930263754388126e-11,1.4523422939373611e-10,1.4110596282387574e-10,0.0
0.1802902407652155,1.9889436333199315,-1.2504923910047405,-0.002531878929449437,6.099391998010943,3,2.4486467010575385e-11,5.557126052338087e-11,5.203962032489723e-11,2.881939084222627e-17
0.7148901787372547,3.6528163609236426,-2.215524785731854,0.004725485443661756,1.9740147955631744,3,5.1844758722979855e-11,1.890586107048171e-10,2.125325519504255e-10,4.443059973708341e-17
-0.6103319462139687,0.4631057937390137,-1.270517309648649,-0.012120570635822706,3.637949492342739,3,4.6533586096756165e-11,1.5092229698934915e-10,1.299104576536377e-10,3.469446951953614e-17
-0.29508064782586285,2.8456782395328024,-1.641940849979666,0.004769217069598989,2.9208108573689544,3,6.405732325806645e-11,1.8549835218714257e-10,1.9860072376421904e-10,5.003707553108401e-17
0.7917418693022934,-0.4244772306281913,-1.22176666482649,-0.006283830974616664,3.848306020891491,3,2.9312711034672136e-11,1.1876318760059467e-10,1.0689890690408223e-10,4.819909745438293e-17
-0.7284256101562795,2.3014303049444744,-1.738835718421108,-0.0014081394053583704,9.226620156590512,3,4.0600733807592036e-11,1.6851680253937732e-10,1.7378915345827116e-10,1.5515838457795457e-17
-0.40976126833446497,0.3285131642774075,-2.007456002261705,-0.006079216910413662,2.0973569923320303,3,3.063667800171548e-11,1.5800947679448745e-10,1.626057761603629e-10,6.177174679671291e-17
