time,q_hip,q_thigh,q_calf,qd_hip,qd_thigh,qd_calf,dq_hip,dq_thigh,dq_calf,dqd_hip,dqd_thigh,dqd_calf,cmd_hip,cmd_thigh,cmd_calf,cmd_unsat_hip,cmd_unsat_thigh,cmd_unsat_calf,foot_x,foot_y,foot_z,foot_desired_x,foot_desired_y,foot_desired_z,pos_error_norm,vel_error_norm,foot_error_norm_m,command_saturated
1.9040000000000001,0.07336251411266233,0.9029965446490054,-1.3996732452058567,0.08191243300036607,0.913767268056064,-1.386232731943936,0.08280279968418033,0.11533575600714525,0.11468677353409677,0.08398664789760002,0.11664812207999997,0.11664812207999997,0.08354701075418917,0.11654574691494121,0.11604542608188433,0.08354701075418917,0.11654574691494121,0.11604542608188433,0.11876407097210016,-0.10860857745543412,-0.30502234178916615,0.11315455191797731,-0.10595286299263532,-0.3060931152024803,0.019229066343469173,0.002640206321504759,0.0062981012241108405,False
1.9060000000000001,0.07352818828726962,0.903227306568402,-1.399443770022839,0.08208042234710602,0.9140005865932028,-1.3859994134067972,0.08283708730364756,0.11538095969830581,0.1147375915088126,0.08400264297308441,0.11667033746261718,0.11667033746261718,0.08357427112219278,0.11657885751406062,0.11608426783878206,0.08357427112219278,0.11657885751406062,0.11608426783878206,0.1186545593206351,-0.1085574838969408,-0.3050401250724534,0.11304294235993176,-0.1059009908262153,-0.3061084960233714,0.019234214169710852,0.0025993310600238946,0.006299890224220683,False
1.9080000000000001,0.07369393038299835,0.9034581579819447,-1.3992141941083602,0.08224844334874956,0.9142339490954855,-1.3857660509045147,0.0828710478643651,0.11542570677136453,0.1147879572394092,0.08401830278534997,0.11669208720187496,0.11669208720187496,0.08360119991979234,0.1166115042074207,0.11612264910021905,0.08360119991979234,0.1166115042074207,0.11612264910021905,0.11854499132130766,-0.10850636834814972,-0.30505786427506076,0.11293130058930234,-0.10584910911427192,-0.30612382565477636,0.01923928069952221,0.002558441744981437,0.006301652476428422,False
1.9100000000000001,0.0738597397453154,0.9036890979758531,-1.3989845183675256,0.08241649533467578,0.9144673546314942,-1.3855326453685057,0.08290468115852903,0.11546999695414532,0.11483787041735048,0.08403362724023439,0.11671337116699215,0.11671337116699215,0.08362779698305349,0.11664368679783624,0.11616056963279436,0.08362779698305349,0.11664368679783624,0.11616056963279436,0.11843536741067237,-0.10845523103298695,-0.3050755592565757,0.11281962706510003,-0.1057972180889341,-0.30613910399919675,0.019244265897474022,0.0025175388279978558,0.0063033879667364874,False
1.9120000000000001,0.07402561571927616,0.9039201256358077,-1.3987547437060517,0.08258457763407745,0.914700802269552,-1.385299197730448,0.08293798698037583,0.11551382997730174,0.1148873307369352,0.08404861624560003,0.11673418923000006,0.11673418923000006,0.08365406215008198,0.11667540509094668,0.11619802920593013,0.08365406215008198,0.11667540509094668,0.11619802920593013,0.1183256880257821,-0.10840407217558168,-0.30509320987733657,0.11270792224666276,-0.10574531798241545,-0.3061543309599859,0.01924916972863924,0.0024766227738242004,0.006305096681317915,False
1.9140000000000001,0.07419155764952852,0.9041512400469564,-1.3985248710302611,0.08275268957596506,0.9149342910777294,-1.3850657089222709,0.08297096512618239,0.11555720557431727,0.11493633789529738,0.0840632697113344,0.11675454126574225,0.11675454126574225,0.08367999526102358,0.11670665889522877,0.11623502759189498,0.08367999526102358,0.11670665889522877,0.11623502759189498,0.11821595360418505,-0.10835289200026399,-0.30511081599843504,0.11259618659365095,-0.1056934090270121,-0.30616950644135044,0.019253992158595763,0.0024356940614538073,0.006306778606517313,False
1.9160000000000001,0.07435756488031706,0.9043824402939193,-1.3982949012470762,0.08292083048917091,0.9151678201238485,-1.3848321798761516,0.08300361539426605,0.11560012348150493,0.11498489159240614,0.08407758754935002,0.11677442715187503,0.11677442715187503,0.08370559615806483,0.11673744802197802,0.11627156456578848,0.08370559615806483,0.11673744802197802,0.11627156456578848,0.11810616458392172,-0.10830169073156296,-0.3051283774817184,0.11248442056604559,-0.10564149145510038,-0.3061846303483513,0.019258733153423455,0.0023947531853500017,0.0063084337288496824,False
1.9180000000000001,0.07452363675548702,0.9046137254607953,-1.3980648352640141,0.08308899970235323,0.9154013884754907,-1.3845986115245092,0.08303593758498458,0.11564258343800779,0.11503299153106573,0.08409156967358442,0.11679384676886717,0.11679384676886717,0.08373086468543296,0.11676777228533355,0.11630763990554491,0.08373086468543296,0.11676777228533355,0.11630763990554491,0.11799632140352179,-0.10825046859420431,-0.3051458941897913,0.11237262462414369,-0.10558956549913452,-0.30619970258690554,0.01926339267970676,0.002353800656800793,0.006310062035001563,False
1.92,0.0746897726184885,0.9048450946311669,-1.3978346739891803,0.08325719654399999,0.9156349952000001,-1.3843650048000002,0.08306793150073613,0.11568458518579848,0.1150806374169153,0.08410521600000007,0.1168128000000001,0.1168128000000001,0.0837558006893946,0.1167976315022517,0.1163432533919285,0.0837558006893946,0.1167976315022517,0.1163432533919285,0.11788642450200124,-0.10819922581310848,-0.30516336598601845,0.11226079922855588,-0.10553763139164463,-0.3062147230637867,0.01926797070453139,0.0023128370054191646,0.00631166351183015,False
1.922,0.07485597181238042,0.9050765468881062,-1.3976044183312635,0.08342542034243326,0.9158686393644906,-1.3841313606355095,0.08309959694595931,0.11572612846967932,0.11512782895842932,0.08411852644658435,0.11683128673136717,0.11683128673136717,0.0837804040182577,0.11682702549252175,0.11637840480855123,0.0837804040182577,0.11682702549252175,0.11637840480855123,0.11777647431885907,-0.10814796261338847,-0.30518079273452625,0.1121489448402024,-0.1054856893652342,-0.3062296916866274,0.019272467195488314,0.0022718627808041717,0.0063132381463640854,False
1.924,0.07502223367983468,0.9053080813141808,-1.3973740691995296,0.08359367042581306,0.9161023200358517,-1.3838976799641487,0.08313093372713314,0.1157672130372827,0.11517456586691731,0.08413150093335,0.116849306851875,0.116849306851875,0.08380467452237032,0.11685595407877226,0.11641309394184875,0.08380467452237032,0.11685595407877226,0.11641309394184875,0.11766647129407456,-0.10809667922034769,-0.3051981743002058,0.11203706192030988,-0.10543373965257803,-0.3062446083639189,0.019276882120670233,0.0022308785543889696,0.006314785925803197,False
1.926,0.07518855756314023,0.905539696991459,-1.3971436275038165,0.08376194612214143,0.9163360362807522,-1.383663963719248,0.08316194165277703,0.11580783863907043,0.11522084785652381,0.08414413938233439,0.11686686025324222,0.11686686025324222,0.08382861205412066,0.11688441708644545,0.11644732058109629,0.08382861205412066,0.11688441708644545,0.11644732058109629,0.11755641586810386,-0.10804537585947789,-0.3052155105487139,0.1119251509304085,-0.10538178248641984,-0.3062594730050142,0.01928121544867324,0.0021898849214927593,0.00631630683751831,False
1.928,0.07535494280420714,0.9057713930015157,-1.396913094154528,0.08393024675926654,0.9165697871656481,-1.3834302128343519,0.08319262053345083,0.11584800502833417,0.11526667464422855,0.0841564417176,0.11688394682999992,0.11688394682999992,0.08385221646793753,0.11691241434382321,0.11648108451840399,0.08385221646793753,0.11691241434382321,0.11648108451840399,0.11744630848187723,-0.10799405275645696,-0.3052328013464761,0.11181321233232808,-0.10532981809957019,-0.3062742855201276,0.019285467148596164,0.0021488825036104,0.006317800869051552,False
1.93,0.07552138874457065,0.906003168425438,-1.3966824700626284,0.08409857166488671,0.9168035717567871,-1.3831964282432128,0.08322297018175479,0.11588771196119535,0.11531204594984619,0.08416840786523441,0.11690056647949221,0.11690056647949221,0.08387548762028987,0.11693994568201657,0.11651438554871361,0.08387548762028987,0.11693994568201657,0.11651438554871361,0.11733614957679575,-0.107942710137147,-0.30525004656068866,0.11170124658819479,-0.10527784672490405,-0.3062890458203368,0.01928963719004074,0.002107871950969638,0.0063192680081164895,False
1.932,0.0756878947253953,0.9062350223438312,-1.3964517561396363,0.08426692016655442,0.9170373891202146,-1.3829626108797854,0.08325299041232954,0.11592695919660526,0.11535696149602655,0.08418003775335006,0.11691671910187507,0.11691671910187507,0.08389842536968695,0.11696701093496786,0.11654722346980598,0.08389842536968695,0.11696701093496786,0.11654722346980598,0.11722593959472837,-0.10789134822759197,-0.30526724605932,0.11158925416042789,-0.10522586859535865,-0.306303753817584,0.019293725543111786,0.0020668539453902444,0.006320708242598079,False
1.934,0.07585446008747902,0.906466953836824,-1.3962209532976197,0.08443529159168046,0.9172712383217784,-1.3827287616782216,0.08328268104185618,0.11596574649634471,0.11540142100825453,0.08419133131208437,0.11693240460011722,0.11693240460011722,0.0839210295766789,0.11699360993944018,0.116579598082296,0.0839210295766789,0.11699360993944018,0.116579598082296,0.11711567897800865,-0.10783996725401558,-0.30528439971111343,0.11147723551173666,-0.10517388394393117,-0.3063184094246767,0.019297732178416228,0.0020258292034936285,0.0063221215605522105,False
1.936,0.07602108417125714,0.906698961984074,-1.39599006244919,0.0846036852675379,0.9175051184271361,-1.3824948815728642,0.08331204188905617,0.1160040736250245,0.11544542421485005,0.0842022884736,0.11694762287999999,0.11694762287999999,0.08394330010385573,0.1170197425350389,0.1166115091896313,0.08394330010385573,0.1170197425350389,0.1166115091896313,0.11700536816943205,-0.10778856744281934,-0.305301507385589,0.11136519110511628,-0.10512189300367653,-0.30633301255528933,0.019301657067064663,0.00198479848030853,0.006323507950206899,False
1.938,0.07618776631680652,0.9069310458647741,-1.395759084507496,0.08477210052126612,0.9177390285017586,-1.3822609714982415,0.08334107277469134,0.11604194035008497,0.11548897084696828,0.08421290917208438,0.11696237385011721,0.11696237385011721,0.08396523681584772,0.11704540856418744,0.11664295659810148,0.08396523681584772,0.11704540856418744,0.11664295659810148,0.11689500761225234,-0.1077371490205803,-0.30531856895304577,0.11125312140384522,-0.10506989600770518,-0.30634756312396394,0.01930550018066928,0.0019437625733327432,0.0063248673999610075,False
1.94,0.07635450586384965,0.9071632045576578,-1.3955280203862188,0.084940536679875,0.9179729676109376,-1.3820270323890624,0.08336977352156402,0.1160793464417963,0.11553206063859928,0.08422319334375,0.11697665742187496,0.11697665742187496,0.08398683957932655,0.11707060787214649,0.11667394011682056,0.08398683957932655,0.11707060787214649,0.11667394011682056,0.11678459775017884,-0.10768571221404885,-0.3053355842845634,0.11114102687148139,-0.10501789318918064,-0.3063620610461114,0.01930926149134533,0.0019027223271197912,0.006326199898385182,False
1.942,0.07652130215175867,0.9073954371410042,-1.3952968709995657,0.08510899307024872,0.9182069348197901,-1.3817930651802102,0.08339814395451683,0.11611629167325838,0.11557469332656815,0.08423314092683437,0.11699047350949221,0.11699047350949221,0.08400810826300242,0.11709534030700341,0.11670445955774354,0.08400810826300242,0.11709534030700341,0.11670445955774354,0.11667413902737322,-0.10763425725014668,-0.3053525532520044,0.11102890797185903,-0.10496588478131752,-0.3063765062380127,0.019312940971710345,0.0018616786384714964,0.006327505434221503,False
1.944,0.07668815451955954,0.907627742692645,-1.3950656372622645,0.08527746901915007,0.918440929193264,-1.381559070806736,0.08342618390043285,0.11615277582040075,0.11561686865053523,0.08424275186159999,0.11700382202999998,0.11700382202999998,0.08402904273762737,0.11711960571967345,0.11673451473566306,0.08402904273762737,0.11711960571967345,0.11673451473566306,0.11656363188844632,-0.10758278435596462,-0.3053694757280161,0.11091676516908512,-0.104913871017379,-0.3063908986168199,0.01931653859488426,0.0018206324623291112,0.006328783996383633,False
1.946,0.07685506230593601,0.907860120289969,-1.3948343200895585,0.08544596385322438,0.918674949796145,-1.381325050203855,0.08345389318823554,0.1161887986619828,0.1156585863529958,0.08425202609033433,0.11701670290324218,0.11701670290324218,0.08404964287599338,0.11714340396390696,0.11676410546820089,0.08404964287599338,0.11714340396390696,0.11676410546820089,0.1164530767784551,-0.10753129375876039,-0.30538635158603283,0.11080459892753598,-0.10486185213067474,-0.306405238100557,0.01932005433448966,0.001779584818479019,0.006330035573956871,False
1.948,0.07702202484923379,0.9080925690099282,-1.3946029203972,0.08561447689900355,0.9189089956930606,-1.3810910043069395,0.08348127164888874,0.11622435997959367,0.11569984617928022,0.08426096355735005,0.11702911605187505,0.11702911605187505,0.08406990855293257,0.11716673489628185,0.11679323157581724,0.08406990855293257,0.11716673489628185,0.11679323157581724,0.11634247414289958,-0.10747978568595656,-0.30540318070027744,0.11069240971185396,-0.10480982835455852,-0.30641952460812133,0.01932348816465104,0.0017385367992027213,0.00633126015619833,False
1.95,0.07718904148746458,0.9083250879290435,-1.3943714391014448,0.08578300748291015,0.9191430659484864,-1.3808569340515136,0.0835083191153967,0.1162594595576521,0.11574064787755395,0.08426956420898438,0.11704106140136716,0.11704106140136716,0.08408983964531772,0.11718959837620053,0.11682189288180744,0.08408983964531772,0.11718959837620053,0.11682189288180744,0.11623182442771954,-0.10742826036513836,-0.3054199629457637,0.11058019798694421,-0.10475779992242601,-0.3064337580592843,0.019326840059995323,0.0016974895780317459,0.006332457732536437,False
1.952,0.0773561115583102,0.9085576761234103,-1.3941398771190472,0.08595155493126144,0.9193771596267519,-1.380622840373248,0.08353503542280404,0.1162940971834066,0.1157809911988174,0.08427782799360001,0.11705253888,0.11705253888,0.08410943603206168,0.11721199426590054,0.11685008921229893,0.08410943603206168,0.11721199426590054,0.11685008921229893,0.11612112807929154,-0.1073767180240516,-0.30543669819829794,0.11046796421797092,-0.10470576706771258,-0.3064479383746923,0.019330109995651372,0.001656444419798626,0.0063336282925716345,False
1.954,0.07752323439912659,0.9087903326687042,-1.3939082353672534,0.08612011857027344,0.9196112757920466,-1.3803887242079538,0.08356142040819575,0.11632827264693557,0.11582087589690604,0.08428575486158438,0.11706354841886712,0.11706354841886712,0.08412869759411773,0.11723392243045339,0.11687782039625498,0.08412869759411773,0.11723392243045339,0.11687782039625498,0.11601038554442555,-0.10732515889060022,-0.30545338633448116,0.11035570887035394,-0.10465373002389085,-0.3064620654758682,0.01933329794725029,0.00161540269220788,0.00633477182607606,False
1.956,0.07769040934694799,0.9090230566401866,-1.3936765147637964,0.0862886977260649,0.9198454135084235,-1.3801545864915765,0.08358747391069724,0.11636198574114683,0.11586030172849057,0.08429334476535003,0.11707408995187502,0.11707408995187502,0.08414762421447917,0.11725538273774522,0.11690508626548059,0.08414762421447917,0.11725538273774522,0.11690508626548059,0.11589959727036218,-0.1072735831928445,-0.3054700272317107,0.11024343240976577,-0.1046016890244686,-0.30647613928521167,0.019336403890925318,0.0015743658792071943,0.006335888322993609,False
1.958,0.07785763573849093,0.9092558471127101,-1.3934447162268901,0.08645729172466159,0.9200795718398078,-1.3799204281601922,0.08361319577147427,0.11639523626177814,0.11589926845307655,0.0843005976593344,0.11708416341574218,0.11708416341574218,0.08416621577818074,0.11727637505850805,0.11693188665460473,0.08416621577818074,0.11727637505850805,0.11693188665460473,0.11578876370476913,-0.10722199115899864,-0.30548662076818234,0.11013113530212769,-0.10454964430298645,-0.3064901597260006,0.019339427803311417,0.0015333355964866429,0.006336977773439979,False
1.96,0.0780249129101584,0.9094887031607249,-1.3932128406752242,0.08662589989200001,0.9203137498500001,-1.3796862501500002,0.08363858583373304,0.11642802400739696,0.1159377758330045,0.08430751350000001,0.11709376875,0.11709376875,0.08418447217229641,0.11729689926629583,0.11695822140109535,0.08418447217229641,0.11729689926629583,0.11695822140109535,0.1156778852957383,-0.1071703830174287,-0.30550316682289214,0.11001881801360656,-0.1044975960930155,-0.3065041267223917,0.019342369661545504,0.0014923136095153357,0.006338040167702811,False
1.962,0.07819224019804384,0.9097216238582837,-1.3929808890279574,0.08679452155393164,0.9205479466026829,-1.3794520533973171,0.08366364394272004,0.11646034877940036,0.11597582363345034,0.08431409224583442,0.11710290589699224,0.11710290589699224,0.0842023932859403,0.11731695523749026,0.1169840903452648,0.0842023932859403,0.11731695523749026,0.1169840903452648,0.11556696249178247,-0.10711875899665031,-0.30551966527563806,0.10990648101061132,-0.1044455446281552,-0.30651804019942186,0.019345229443266648,0.0014513018546060954,0.006339075496241595,False
