time,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,tau_model1,tau_model2,residual1,residual2,residual_norm
1.838,8.953938236406014,-13.770742026492252,9.122783302297254,-23.564890477019695,-25.356464118578582,133.70887269259916,-0.7207469556391001,0.23528826793749105,0.0496209800047323,0.4762802928930785,0.38853253097653595,-0.2579646791905984,-1.1589004666203684,0.016972654235010983,-0.7207469556391002,0.23528826793749108,-1.1102230246251565e-16,2.7755575615628914e-17,1.1443916996305594e-16
1.839,8.963035663244192,-13.794173208096579,9.097426838178675,-23.431181604327097,-24.832544130556897,132.91773268545882,-0.7242791744685354,0.2379895342456904,0.054083028311146635,0.4774659609644377,0.3836151005876966,-0.25876873988107474,-1.1619773033673786,0.019292313162327324,-0.7242791744685353,0.2379895342456903,1.1102230246251565e-16,-8.326672684688674e-17,1.3877787807814457e-16
1.84,8.97210825753824,-13.81747147196822,9.072594294048118,-23.298263871641637,-24.288415869385318,132.08602616656606,-0.7277291746758149,0.24066723270706938,0.058838860006746915,0.47850583943161784,0.37839541980485625,-0.259429169420652,-1.1649634544874181,0.021590562696103512,-0.727729174675815,0.24066723270706938,-1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.841,8.98115656341642,-13.840637649813695,9.048305878178732,-23.166177845475072,-23.725742754450142,131.21820910795793,-0.7310979451598778,0.2433210350599687,0.06387000684302739,0.47940549888746087,0.3728919658494012,-0.2599515421471806,-1.1678599178523064,0.02386707831968835,-0.7310979451598778,0.24332103505996863,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.842,8.990181143551844,-13.863672609450063,9.024580135424282,-23.034959636367116,-23.14610722477677,130.31848034842128,-0.7343864508048461,0.2459506366204145,0.0691584743163704,0.4801703640489417,0.3671227423614429,-0.26034128650130267,-1.1706676674826595,0.02612155907277541,-0.7343864508048462,0.24595063662041444,-1.1102230246251565e-16,-5.551115123125783e-17,1.2412670766236366e-16
1.843,8.999182577580044,-13.886577250606083,9.001434028199505,-22.904641156018695,-22.551012822975096,129.39078741208974,-0.7375956312084873,0.24855575536986818,0.07468674796567362,0.4808057061538773,0.3611052731020177,-0.26060367742312646,-1.1733876522761786,0.02835372663911739,-0.7375956312084873,0.24855575536986824,0.0,5.551115123125783e-17,5.551115123125783e-17
1.844,9.00816146059542,-13.90935250097469,8.97888301537653,-22.775250368606606,-21.941886579149187,128.43883320257316,-0.7407263995350486,0.2511361310693023,0.08043779646542082,0.481316636870191,0.35485659885983406,-0.2607438302614526,-1.1760207948603034,0.030563324460564006,-0.7407263995350486,0.25113613106930244,0.0,1.1102230246251565e-16,1.1102230246251565e-16
1.845,9.017118401724218,-13.931999312510094,8.95694112879738,-22.646811535404034,-21.320081633661477,127.46608339385696,-0.7437796414846195,0.2536915244008071,0.0863950719159621,0.4817081035734208,0.34839327716080964,-0.26076669605124747,-1.1785679905613913,0.03275011687863381,-0.7437796414846195,0.25369152440080717,0.0,5.551115123125783e-17,5.551115123125783e-17
1.846,9.026054022771381,-13.954518657962105,8.93562104716372,-22.519345452010178,-20.68688004413263,126.47577435896211,-0.7467562143714817,0.2562217161376209,0.09254250770439618,0.4819848858562039,0.34173138440700407,-0.2606770580230902,-1.1810301064828819,0.03491388830450718,-0.7467562143714817,0.2562217161376209,0.0,0.0,0.0
1.847,9.034968956938501,-13.976911527639755,8.914934167119586,-22.392869677651216,-20.04349572819028,125.47092149598677,-0.7496569463042428,0.25872650634317823,0.09886451428109153,0.4821515931418622,0.33488652009990616,-0.2604795292167232,-1.1834079806852407,0.03705444241803919,-0.749656946304243,0.2587265063431782,-1.1102230246251565e-16,-5.551115123125783e-17,1.2412670766236366e-16
1.848,9.043863847609892,-13.99917892639591,8.894890671391396,-22.26739875615523,-19.391077499218035,124.45432782856174,-0.7524826354608699,0.26120571359952255,0.10534597316894832,0.48221266328279866,0.327873812830982,-0.2601785510794125,-1.1857024214608003,0.03917160139613642,-0.75248263546087,0.26120571359952255,-1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.849,9.052739347203783,-14.021321870824236,8.875499593892178,-22.14294442832667,-18.73071215768082,123.42859277387586,-0.7552340494521481,0.26365917426519425,0.11197222949526767,0.48217236203300395,0.3207079277496081,-0.2597783929384196,-1.1879142066970239,0.041265205170609776,-0.7552340494521481,0.26365917426519414,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
1.85,9.061596116085518,-14.043341386659788,8.856768881734498,-22.01951583555279,-18.06342760550014,122.39612098624448,-0.7579119247674166,0.26608674176251856,0.11872908330990486,0.4820347832924737,0.31340307524471966,-0.25928315224538184,-1.1900440833220411,0.04333511071542665,-0.7579119247674166,0.2660867417625185,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.851,9.070434821539648,-14.065238506374355,8.838705454128997,-21.897119714566546,-17.390195955429327,121.35913119770733,-0.7605169662968297,0.2684882858940397,0.12560277992832297,0.48180385002961723,0.3059730206015561,-0.25869675549868787,-1.192092766826709,0.04538119136311032,-0.7605169662968299,0.26848828589403967,-1.1102230246251565e-16,-5.551115123125783e-17,1.2412670766236366e-16
1.852,9.079256136797822,-14.087014266957723,8.821315258173568,-21.77576058336884,-16.711936611441427,120.31966498938841,-0.7630498469247688,0.2708636921877013,0.13257999951442231,0.48148331579576026,0.29843109441862586,-0.25802295975794437,-1.194060940857817,0.04740333614988534,-0.763049846924769,0.27086369218770123,-1.1102230246251565e-16,-5.551115123125783e-17,1.2412670766236366e-16
1.853,9.088060740119385,-14.108669707876103,8.804603321562126,-21.65544091837945,-16.029519299804793,119.2795954383665,-0.7655112071893789,0.2732128612702501,0.13964784609567094,0.4810767667535011,0.2907902035923673,-0.2572653546722983,-1.1959492568774173,0.049401449189047174,-0.765511207189379,0.27321286127024996,-1.1102230246251565e-16,-1.1102230246251565e-16,1.5700924586837752e-16
1.854,9.096849313921647,-14.130205869199045,8.788573802262322,-21.536161322941084,-15.343767033805634,118.24063559466185,-0.7679016550035876,0.2755357082682323,0.1467938361821357,0.48058762414798,0.283062842697907,-0.25642736495167107,-1.1977583338836304,0.0513754490719234,-0.7679016550035878,0.27553570826823237,-1.1102230246251565e-16,5.551115123125783e-17,1.2412670766236366e-16
1.855,9.105622543956875,-14.151623789886392,8.773230035228517,-21.41792068734642,-14.65545899800333,117.20434675170092,-0.7702217654333062,0.2778321622358609,0.15400588714151559,0.4800191471569898,0.27526110561381156,-0.25551225321683607,-1.1994887581886333,0.05332526829570706,-0.7702217654333061,0.27783216223586077,1.1102230246251565e-16,-1.1102230246251565e-16,1.5700924586837752e-16
1.856,9.114381118533105,-14.172924506226986,8.758574576230513,-21.300716340594718,-13.965333340498487,116.1721464813606,-0.7724720805288461,0.2801021656089643,0.16127230546423024,0.47937443606231855,0.26739669725678167,-0.2545231231707258,-1.201141083249858,0.05525085271737151,-0.772472080528846,0.2801021656089643,1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.857,9.123125727775996,-14.1941090504211,8.744609242890014,-21.184544194113357,-13.27408986398066,115.14531641148294,-0.774653109205933,0.2823456736841626,0.16858177503593336,0.4786564356907255,0.25948094530891824,-0.2534629230393761,-1.2027158295507845,0.05715216103281316,-0.7746531092059329,0.2823456736841626,1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.858,9.131857062929022,-14.2151784492988,8.731335153026034,-21.069398877701875,-12.582392608328076,114.12500972967865,-0.7767653271729963,0.28456265412237525,0.1759233455194962,0.4778679390785505,0.2515248118355145,-0.25233444923649984,-1.204213484528007,0.05902916428032461,-0.7767653271729963,0.2845626541223753,0.0,5.551115123125783e-17,5.551115123125783e-17
1.859,9.14057581568944,-14.236133723166773,8.718752760417706,-20.955273867972195,-11.890872319280021,113.11225840236548,-0.7788091769017227,0.2867530864757256,0.18328642093446113,0.47701159131909926,0.24353890470537698,-0.2511403502108406,-1.205634502541561,0.060881845367466964,-0.7788091769017228,0.2867530864757256,-1.1102230246251565e-16,0.0,1.1102230246251565e-16
1.86,9.149282677577538,-14.256975884776343,8.706861888098427,-20.84216160956983,-11.200128799221204,112.10798010240687,-0.7807850676381456,0.28891696173688486,0.19066074850912584,0.4760898935567133,0.23553348873850893,-0.2498831304402083,-1.2069793048857804,0.06271019862037995,-0.7807850676381456,0.2889169617368849,0.0,5.551115123125783e-17,5.551115123125783e-17
1.861,9.157978339336838,-14.277705938405811,8.695661759299206,-20.73005362946742,-10.510733137425625,111.11298484247821,-0.7826933754517984,0.29105428190988014,0.19803640786873908,0.47510520709575554,0.22751849651768485,-0.2485651545404332,-1.2082482798382224,0.06451422935455779,-0.7826933754517984,0.29105428190988014,0.0,0.0,0.0
